attribution_title,Entrance,Reserve,qualified request,revenue,Reserve/OTP,request,Entrance/Reserve,QR/Request,week_type,Buy/OTP verified,Buy,OTP verified QR,Reserve Request,Otp/QR
affiliate program,104,215,555,971500000,41.42581888246628,1043,48.372093023255815,53.21188878235858,current week,5.009633911368016,26,519,356,93.51351351351352
Affilio,0,1,1,0,100,3,0,33.333333333333336,current week,0,0,1,1,100
Akharinkhodro-banner,2,3,9,0,33.333333333333336,15,66.66666666666667,60,current week,0,0,9,6,100
App install,18,73,170,246000000,47.096774193548384,268,24.65753424657534,63.43283582089552,current week,3.870967741935484,6,155,94,91.17647058823529
asanpardakht-icon,23,114,550,466000000,22.709163346613547,1387,20.17543859649123,39.65392934390771,current week,2.3904382470119523,12,502,259,91.27272727272727
Azkivam-sms,0,0,0,24000000,0,0,0,0,current week,0,1,0,0,0
badesaba-banner,1,8,25,43000000,36.36363636363637,68,12.5,36.76470588235294,current week,4.545454545454546,1,22,14,88
Bale-pin,0,1,8,0,16.666666666666668,24,0,33.333333333333336,current week,0,0,6,4,75
bama-baner,18,46,122,203000000,39.31623931623932,208,39.130434782608695,58.65384615384615,current week,4.273504273504273,5,117,66,95.90163934426229
blog,75,253,1090,1450355000,25.895598771750254,4256,29.64426877470356,25.610902255639097,current week,3.787103377686796,37,977,653,89.63302752293578
chatgpt,2,2,4,291000000,50,13,100,30.76923076923077,current week,75,3,4,2,100
chavosh-instagram,0,1,2,0,50,2,0,100,current week,0,0,2,1,100
Chavosh-social media,25,152,686,528900000,24.050632911392405,1810,16.44736842105263,37.90055248618785,current week,1.5822784810126582,10,632,335,92.12827988338192
Dealer-inchannel,0,1,5,99000000,25,13,0,38.46153846153846,current week,25,1,4,2,80
Direct,296,710,2045,4689140000,37.17277486910995,3564,41.690140845070424,57.37934904601571,current week,5.706806282722513,109,1910,1145,93.39853300733496
ecrm-retargeting-k,0,0,0,0,0,3,0,0,current week,0,0,0,0,0
ecrm-retargeting-m,1,2,2,0,100,5,50,40,current week,0,0,2,2,100
googleads,99,291,956,1311835000,32.441471571906355,1989,34.02061855670103,48.06435394670689,current week,3.901895206243032,35,897,542,93.82845188284519
INTRACK,166,350,1085,2747679000,33.68623676612127,2251,47.42857142857143,48.2007996446024,current week,4.908565928777671,51,1039,516,95.76036866359448
intrack-incoming call,24,48,241,265500000,20.77922077922078,277,50,87.00361010830325,current week,2.5974025974025974,6,231,119,95.850622406639
intrack-web-push,0,1,7,0,14.285714285714286,8,0,87.5,current week,0,0,7,2,100
Jaryan-inchannel,36,166,1361,702008000,14.335060449050086,3951,21.686746987951807,34.44697544925335,current week,1.381692573402418,16,1158,421,85.08449669360765
Jaryan-session,0,0,0,0,0,1,0,0,current week,0,0,0,0,0
nazarkadeh,2,2,6,0,33.333333333333336,8,100,75,current week,0,0,6,4,100
offline-branch,17,18,19,103000000,94.73684210526316,22,94.44444444444444,86.36363636363636,current week,21.05263157894737,4,19,18,100
offline-offline,792,1627,2206,11639753000,73.75339981867634,2686,48.67854947756607,82.12956068503351,current week,12.466001813236627,275,2206,345,100
organic,2108,4675,11990,34721996500,41.171290180537206,19146,45.09090909090909,62.62404679828685,current week,7.168648172611184,814,11355,6995,94.70391993327773
Pishgam-dealers-crawl,0,0,2,0,0,3,0,66.66666666666667,current week,0,0,2,1,100
Pishgam-smsBULK,1,3,9,30000000,33.333333333333336,17,33.333333333333336,52.94117647058823,current week,11.11111111111111,1,9,3,100
pishgam-smsretargeting,57,113,331,605310000,35.87301587301587,418,50.442477876106196,79.1866028708134,current week,3.492063492063492,11,315,155,95.16616314199396
Pump,1,8,55,0,17.391304347826086,104,12.5,52.88461538461539,current week,0,0,46,39,83.63636363636364
remarketing-sms,0,0,0,0,0,2,0,0,current week,0,0,0,1,0
sanbuk-action,0,1,2,60000000,50,3,0,66.66666666666667,current week,50,1,2,1,100
sanbuk-akharinkhabar-push,0,0,0,0,0,2,0,0,current week,0,0,0,0,0
sanbuk-bannerfix,0,0,0,0,0,1,0,0,current week,0,0,0,0,0
sanbuk-inchannel,0,2,3,0,66.66666666666667,3,0,100,current week,0,0,3,1,100
signal-app,2,7,76,33000000,10.9375,145,28.571428571428573,52.41379310344828,current week,1.5625,1,64,31,84.21052631578948
social-bio,1,4,6,0,100,11,25,54.54545454545455,current week,0,0,4,4,66.66666666666667
social-owned-bale,0,1,6,0,20,14,0,42.857142857142854,current week,0,0,5,1,83.33333333333333
Social-owned-instagram,0,0,2,0,0,4,0,50,current week,0,0,2,2,100
social-owned-rubika,0,0,1,29771000,0,2,0,50,current week,100,1,1,1,100
Social-owned-telegram,1,1,4,0,25,6,100,66.66666666666667,current week,0,0,4,2,100
Social-owned-youtube,0,0,0,0,0,1,0,0,current week,0,0,0,0,0
social-paid-instagram,0,2,6,101000000,40,7,0,85.71428571428571,current week,20,1,5,5,83.33333333333333
Tapsell-bale,30,119,544,535100000,25.70194384449244,1215,25.210084033613445,44.77366255144033,current week,2.159827213822894,10,463,255,85.11029411764706
tapsell-banner,0,0,0,0,0,1,0,0,current week,0,0,0,0,0
tapsell-inapp,2,7,20,60000000,38.888888888888886,40,28.571428571428573,50,current week,5.555555555555555,1,18,12,90
Tapsell-web-native,27,121,1064,389500000,14.702308626974483,2079,22.31404958677686,51.178451178451176,current week,0.9720534629404617,8,823,383,77.34962406015038
Tapsell-web-Nativevideo,1,1,7,54000000,33.333333333333336,16,100,43.75,current week,33.333333333333336,1,3,1,42.857142857142854
tapsell_web-retargeting,0,1,1,0,100,1,0,100,current week,0,0,1,1,100
toolbox-app,0,0,6,0,0,23,0,26.08695652173913,current week,0,0,6,3,100
toolbox-banner,0,0,4,0,0,12,0,33.333333333333336,current week,0,0,3,1,75
Varzesh3-bannerlivescore,0,1,3,16000000,33.333333333333336,3,0,100,current week,33.333333333333336,1,3,1,100
Yektanet-action,209,976,4967,2329754990,22.03657710544141,12958,21.41393442622951,38.33153264392653,current week,1.0611876270038383,47,4429,2367,89.16851218039058
yektanet-bale,63,148,604,1071850000,28.62669245647969,1334,42.567567567567565,45.27736131934033,current week,5.029013539651838,26,517,268,85.59602649006622
yektanet-balepv,73,207,685,1151920000,32.857142857142854,1346,35.265700483091784,50.89153046062407,current week,4.444444444444445,28,630,392,91.97080291970804
yektanet-cpa,0,0,4,0,0,7,0,57.142857142857146,current week,0,0,3,1,75
yektanet-cpc,0,1,1,0,100,1,0,100,current week,0,0,1,0,100
yektanet-Divar,2,4,6,0,66.66666666666667,11,50,54.54545454545455,current week,0,0,6,5,100
yektanet-inapp,11,30,112,421000000,29.12621359223301,248,36.666666666666664,45.16129032258065,current week,3.883495145631068,4,103,63,91.96428571428571
yektanet-native,0,0,0,0,0,1,0,0,current week,0,0,0,0,0
yektanet-push-targeted,0,0,0,0,0,2,0,0,current week,0,0,0,0,0
yektanet-rubika,0,0,4,0,0,10,0,40,current week,0,0,4,2,100
yektanet-rubikapv,0,2,11,0,20,30,0,36.666666666666664,current week,0,0,10,5,90.9090909090909
yektanet-sms,0,1,4,0,25,8,0,50,current week,0,0,4,3,100
yektanet-soroush,1,1,1,0,100,1,100,100,current week,0,0,1,0,100
Yelloadwise-icon,16,67,425,23000000,18.306010928961747,1213,23.880597014925375,35.03709810387469,current week,0.273224043715847,1,366,196,86.11764705882354
Yelloadwise-sms,0,0,1,0,0,1,0,100,current week,0,0,1,0,100
Yelloadwise-sms-ads,1,2,5,0,40,9,50,55.55555555555556,current week,0,0,5,7,100
Total,4314,10604,32165,169000000,35.73137446507396,64420,40.68276122218031,49.93014591741695,current week,0.006739225662971324,2,29677,16136,92.26488419089073
Total,6,13,38,169000000,37.142857142857146,86,46.15384615384615,44.18604651162791,current week,5.714285714285714,2,35,21,92.10526315789474
Total,6,13,38,67583872490,37.142857142857146,86,46.15384615384615,44.18604651162791,current week,4448.571428571428,1557,35,21,92.10526315789474
Total,4314,10604,32165,67583872490,35.73137446507396,64420,40.68276122218031,49.93014591741695,current week,5.246487178623176,1557,29677,16136,92.26488419089073
